AUC,RECALL,F-0.5,F-1,F-2,TN,FN,FP,TP,MODEL,N_NEG,N_POS,DS,CENARIO
0.9999575082858844,1.0,0.9090909090909092,0.9411764705882352,0.9756097560975612,11766.0,0.0,1.0,8.0,XGB,11767,8,120,Cenário 1
0.505963373345645,0.0119267466912896,0.0569183313748531,0.0235723519124021,0.0148641132357736,155.0,0.0,12841.0,251.0,FRBS,12996,251,121,Cenário 1
0.9924096478384834,1.0,0.6314312441534145,0.7327001356852104,0.8726567550096962,12780.0,0.0,197.0,270.0,LogClass,12977,270,121,Cenário 1
0.9846457692955344,0.9703703703703704,0.9534206695778747,0.9597069597069596,0.9660766961651917,12963.0,8.0,14.0,262.0,MLP,12977,270,121,Cenário 1
0.9962962962962962,0.9925925925925926,0.9985096870342772,0.9962825278810409,0.9940652818991096,12977.0,2.0,0.0,268.0,RF,12977,270,121,Cenário 1
0.7203703703703703,0.4407407407407408,0.7975871313672922,0.6118251928020566,0.4962468723936614,12977.0,151.0,0.0,119.0,SVM,12977,270,121,Cenário 1
0.9962962962962962,0.9925925925925926,0.9985096870342772,0.9962825278810409,0.9940652818991096,12977.0,2.0,0.0,268.0,XGB,12977,270,121,Cenário 1
0.6843192746944499,0.832924263674614,0.9604188566345919,0.9082827510395258,0.861515585616625,9502.0,13.0,1906.0,15.0,FRBS,11408,28,122,Cenário 1
0.9443032427695004,1.0,0.024932873034138853,0.03930461073318217,0.09279086366880797,10139.0,0.0,1271.0,26.0,LogClass,11410,26,122,Cenário 1
0.7304624823029732,0.4615384615384616,0.5882352941176472,0.5333333333333333,0.4878048780487805,11403.0,14.0,7.0,12.0,MLP,11410,26,122,Cenário 1
0.9807692307692308,0.9615384615384616,0.992063492063492,0.9803921568627452,0.9689922480620154,11410.0,1.0,0.0,25.0,RF,11410,26,122,Cenário 1
0.5,0.0,0.0,0.0,0.0,11410.0,26.0,0.0,0.0,SVM,11410,26,122,Cenário 1
1.0,1.0,1.0,1.0,1.0,11410.0,0.0,0.0,26.0,XGB,11410,26,122,Cenário 1
0.743593568054847,0.959789875835721,0.9863177731537829,0.976199727996891,0.966287164890957,10049.0,69.0,421.0,77.0,FRBS,10470,146,123,Cenário 1
0.9904912079510704,1.0,0.4884318766066839,0.6043737574552684,0.7924921793534934,10265.0,0.0,199.0,152.0,LogClass,10464,152,123,Cenário 1
0.9953726058264928,0.9934210526315791,0.8698156682027649,0.9123867069486404,0.9593392630241424,10436.0,1.0,28.0,151.0,MLP,10464,152,123,Cenário 1
1.0,1.0,1.0,1.0,1.0,10464.0,0.0,0.0,152.0,RF,10464,152,123,Cenário 1
